"Price","Review.Scores.Cleanliness","Review.Scores.Communication","Minimum.Nights","Beds","Bathrooms","Guests.Included","Reviews.per.Month","Room.Type","Neighbourhood.Cleansed","Cancellation.Policy"
495,2,2,2,2,1,1,0.27,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","flexible"
149,8,10,1,1,1,1,0.34,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","moderate"
139,10,10,2,1,1,3,1.04,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","strict"
250,10,10,2,1,1,2,0.82,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","moderate"
140,10,10,3,1,1,1,0.7,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","strict"
225,10,10,2,3,1,1,3.7,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","moderate"
130,9,10,1,1,1,1,0.77,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","flexible"
89,9,10,2,1,1,1,0.52,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","flexible"
75,9,9,12,1,1,1,0.81,"Entire home/apt","Brightwood Park, Crestwood, Petworth","moderate"
50,10,10,1,1,1,1,0.75,"Private room","Brightwood Park, Crestwood, Petworth","strict"
125,9,10,2,1,1,1,0.18,"Entire home/apt","Brightwood Park, Crestwood, Petworth","moderate"
139,10,10,3,3,1,4,3.08,"Entire home/apt","Union Station, Stanton Park, Kingman Park","strict"
90,10,10,2,1,1,2,4.7,"Entire home/apt","Union Station, Stanton Park, Kingman Park","strict"
125,10,10,1,2,1,2,0.95,"Entire home/apt","Union Station, Stanton Park, Kingman Park","moderate"
290,10,10,2,2,1,1,0.54,"Entire home/apt","Union Station, Stanton Park, Kingman Park","strict"
139,9,10,3,1,1,2,0.39,"Entire home/apt","Union Station, Stanton Park, Kingman Park","strict"
45,10,10,1,2,1,1,0.53,"Private room","Union Station, Stanton Park, Kingman Park","moderate"
135,10,10,2,1,1,1,2.09,"Entire home/apt","Union Station, Stanton Park, Kingman Park","flexible"
89,10,10,1,1,1,1,8.14,"Entire home/apt","Union Station, Stanton Park, Kingman Park","moderate"
250,9,10,2,2,1.5,1,0.75,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","flexible"
115,10,10,1,1,1,1,8.59,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","moderate"
90,9,9,1,2,1,4,4.32,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","moderate"
65,10,10,1,1,1,1,0.48,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","flexible"
120,9,10,2,1,1,1,1.16,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","moderate"
148,7,10,2,3,1,2,0.82,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","strict"
695,10,10,2,2,1,1,0.27,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","flexible"
25,8,9,3,1,1,1,1.59,"Shared room","Edgewood, Bloomingdale, Truxton Circle, Eckington","strict"
45,9,10,1,1,1,1,0.23,"Private room","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
44,7,10,1,1,1.5,1,0.13,"Private room","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
200,9,9,2,1,1,1,1.84,"Entire home/apt","D","flexible"
275,6,10,2,1,1,1,0.12,"Entire home/apt","B","flexible"
120,10,10,2,1,1,1,2.28,"Entire home/apt","B","moderate"
120,9,10,2,1,1,1,0.43,"Private room","B","flexible"
500,10,9,1,2,1,4,0.8,"Entire home/apt","B","strict"
514,10,10,3,1,1.5,1,1.29,"Entire home/apt","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","strict"
169,10,10,3,1,1,1,0.09,"Entire home/apt","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","strict"
350,9,9,3,2,1.5,1,2.08,"Entire home/apt","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","strict"
159,10,10,1,2,1,2,0.23,"Entire home/apt","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","flexible"
550,10,9,2,1,1,1,1.5,"Entire home/apt","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","flexible"
75,9,9,1,2,1,2,1,"Private room","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point","strict"
399,9,10,2,1,1,1,0.08,"Entire home/apt","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point","flexible"
145,10,10,2,2,1.5,1,0.61,"Entire home/apt","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point","flexible"
95,10,10,2,2,1,2,2.95,"Entire home/apt","D","moderate"
76,9,10,1,1,1,1,2,"Entire home/apt","Brightwood Park, Crestwood, Petworth","flexible"
90,9,10,2,1,1,3,2.51,"Entire home/apt","Brightwood Park, Crestwood, Petworth","moderate"
240,10,10,3,4,4,7,0.05,"Entire home/apt","Brightwood Park, Crestwood, Petworth","strict"
110,8,10,1,1,1,1,0.25,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","flexible"
149,10,10,3,3,2,2,2.62,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","strict"
550,9,10,1,1,1,1,0.12,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","flexible"
85,10,10,3,1,1,1,0.27,"Private room","Dupont Circle, Connecticut Avenue/K Street","strict"
