"Price","Review.Scores.Cleanliness","Review.Scores.Communication","Minimum.Nights","Beds","Bathrooms","Guests.Included","Reviews.per.Month","Room.Type","Neighbourhood.Cleansed","Cancellation.Policy"
149,10,10,1,2,1,1,2.63,"Private room","South Boston Waterfront","strict"
299,10,8,7,1,1,1,0.43,"Entire home/apt","South Boston Waterfront","super_strict_30"
285,10,9,3,2,1,1,1.22,"Entire home/apt","South Boston Waterfront","moderate"
200,10,10,1,1,1,1,0.42,"Entire home/apt","South Boston Waterfront","strict"
135,10,10,1,1,1,1,1.54,"Private room","South Boston","moderate"
150,9,10,1,2,1,2,1.47,"Entire home/apt","South Boston","strict"
50,4,8,10,1,1,1,1.09,"Private room","Allston","moderate"
189,9,9,2,2,2,1,0.14,"Entire home/apt","Allston","flexible"
59,10,10,1,1,1,1,1.71,"Private room","Allston","strict"
200,8,10,1,2,1,1,0.08,"Entire home/apt","Allston","flexible"
70,10,10,1,1,1,1,0.36,"Private room","Allston","moderate"
50,8,8,1,1,1,1,0.12,"Private room","Allston","flexible"
69,9,10,1,1,1,2,3.09,"Private room","Allston","strict"
44,10,10,1,1,1,1,0.3,"Shared room","Brighton","flexible"
48,10,10,1,1,1,1,6.36,"Private room","Brighton","flexible"
184,10,10,3,1,1,2,0.19,"Entire home/apt","Brighton","flexible"
70,10,10,1,1,1,1,2,"Entire home/apt","Brighton","moderate"
80,8,9,1,3,1,1,0.94,"Entire home/apt","Brighton","flexible"
70,9,9,1,1,1,1,0.95,"Private room","Brighton","flexible"
189,10,10,2,2,3,2,0.08,"Private room","Brighton","strict"
85,10,10,1,1,1,1,0.46,"Private room","Brighton","moderate"
225,10,10,1,7,2,2,2.99,"Entire home/apt","Dorchester","strict"
250,10,10,2,2,1,1,0.21,"Entire home/apt","Dorchester","moderate"
70,9,10,7,1,1,0,0.28,"Private room","Dorchester","moderate"
200,6,9,3,3,1,4,0.22,"Entire home/apt","Dorchester","flexible"
75,9,10,1,1,1,1,2.28,"Private room","Dorchester","flexible"
125,10,9,2,2,1,2,0.2,"Entire home/apt","Dorchester","strict"
95,6,8,7,2,1,2,1,"Entire home/apt","Dorchester","strict"
150,10,10,2,1,1,1,2,"Entire home/apt","North End","strict"
160,7,10,20,2,1,2,0.49,"Entire home/apt","North End","moderate"
250,9,10,2,1,1,2,0.69,"Entire home/apt","North End","strict"
220,10,10,2,2,1,2,6.22,"Entire home/apt","North End","strict"
175,9,10,2,3,1,3,0.32,"Entire home/apt","North End","flexible"
95,10,10,1,1,1,1,4.87,"Private room","North End","moderate"
345,8,10,1,2,2,4,0.12,"Entire home/apt","North End","strict"
45,10,10,1,1,1,1,2.07,"Entire home/apt","North End","flexible"
167,9,8,2,1,1,1,1.02,"Entire home/apt","Dorchester","strict"
135,10,10,2,1,1,1,7.41,"Entire home/apt","Dorchester","moderate"
125,10,10,2,1,1,1,3.65,"Private room","Dorchester","moderate"
35,10,10,30,1,1.5,1,2.45,"Private room","Dorchester","flexible"
225,10,10,3,3,1,2,2.24,"Entire home/apt","Dorchester","strict"
176,9,10,1,1,1,1,0.33,"Entire home/apt","South End","flexible"
137,9,10,7,1,1,1,0.81,"Entire home/apt","South End","strict"
149,8,10,1,1,1,3,3.64,"Entire home/apt","South End","strict"
149,10,10,3,1,1,2,4.93,"Private room","South End","moderate"
199,10,10,1,1,1,1,0.48,"Entire home/apt","South End","strict"
89,8,10,2,1,1,2,3.66,"Private room","South End","strict"
240,10,10,2,2,1,4,2.4,"Entire home/apt","South End","flexible"
77,10,10,1,1,1.5,2,0.24,"Shared room","South End","flexible"
259,7,10,2,1,1,1,0.08,"Entire home/apt","Back Bay","super_strict_30"
107,10,10,1,1,1,1,1,"Private room","Back Bay","strict"
120,10,10,2,1,1,1,0.61,"Private room","Back Bay","flexible"
139,9,10,2,1,1,1,1.8,"Private room","Back Bay","flexible"
210,10,8,1,1,1,1,0.21,"Private room","Back Bay","moderate"
229,9,10,2,1,1,1,1.06,"Entire home/apt","Back Bay","strict"
249,8,7,2,1,1,1,0.59,"Entire home/apt","Back Bay","strict"
120,10,10,3,2,1,1,1.6,"Entire home/apt","Back Bay","strict"
150,10,10,7,1,1,1,0.52,"Entire home/apt","Back Bay","strict"
350,10,9,4,2,1,1,1.63,"Entire home/apt","Back Bay","flexible"
300,10,10,1,3,1,4,0.18,"Entire home/apt","East Boston","moderate"
259,10,10,2,2,2,1,1.94,"Entire home/apt","East Boston","moderate"
169,6,10,10,1,1,1,0.29,"Entire home/apt","Downtown","strict"
249,8,10,10,2,2,1,0.31,"Entire home/apt","Downtown","strict"
267,8,9,1,3,2,4,4.29,"Entire home/apt","Beacon Hill","strict"
200,10,10,1,3,1,3,2.38,"Entire home/apt","Beacon Hill","strict"
195,9,9,4,1,1,1,1.37,"Entire home/apt","Beacon Hill","moderate"
130,9,10,2,1,1,1,2.27,"Private room","Beacon Hill","strict"
107,10,10,5,1,1,1,0.71,"Entire home/apt","Beacon Hill","moderate"
225,9,10,1,3,1,4,1.94,"Entire home/apt","Beacon Hill","moderate"
99,7,9,1,2,1,1,8.33,"Entire home/apt","Beacon Hill","flexible"
125,10,10,3,1,1,2,0.43,"Entire home/apt","Beacon Hill","strict"
199,9,10,3,1,1,1,3.02,"Entire home/apt","Beacon Hill","moderate"
209,9,10,3,2,1,1,0.7,"Entire home/apt","Downtown","strict"
400,10,10,1,1,1,1,0.27,"Entire home/apt","Downtown","flexible"
299,9,9,5,2,2,1,0.08,"Entire home/apt","Downtown","super_strict_30"
229,10,9,4,1,1,1,0.96,"Entire home/apt","Downtown","moderate"
218,10,10,1,2,1,0,1,"Entire home/apt","Downtown","strict"
155,9,10,7,1,1,1,0.63,"Entire home/apt","Downtown","strict"
200,10,10,2,1,1,2,1.83,"Entire home/apt","Fenway","moderate"
140,10,10,2,1,1,1,3.76,"Entire home/apt","Fenway","strict"
55,8,8,1,1,1,1,0.14,"Private room","Fenway","strict"
259,10,9,4,1,1,1,0.04,"Entire home/apt","Fenway","super_strict_30"
299,9,10,1,3,1,4,4.85,"Entire home/apt","Fenway","strict"
199,9,8,2,1,1,1,3.68,"Entire home/apt","Fenway","moderate"
135,10,10,2,2,1,1,0.16,"Entire home/apt","Fenway","flexible"
169,9,9,3,1,1,1,1,"Entire home/apt","Fenway","strict"
80,10,10,1,1,1,2,1,"Private room","Fenway","moderate"
123,8,10,1,1,1,1,5.15,"Private room","Fenway","moderate"
89,10,10,1,1,1.5,2,0.28,"Private room","Fenway","moderate"
79,9,10,2,1,3,1,1.46,"Private room","Brighton","strict"
74,10,10,2,1,1,1,2.33,"Shared room","Back Bay","flexible"
356,9,9,2,2,1,1,0.36,"Entire home/apt","Back Bay","super_strict_30"
65,10,10,1,1,1,1,15.54,"Private room","East Boston","moderate"
140,10,10,2,1,2,1,1.93,"Private room","East Boston","strict"
145,9,10,2,2,1,2,4.21,"Entire home/apt","East Boston","strict"
60,5,9,1,1,1,1,2.37,"Shared room","East Boston","flexible"
85,10,10,1,1,1,1,1.59,"Private room","East Boston","flexible"
199,8,10,2,1,1,1,0.23,"Entire home/apt","East Boston","moderate"
110,9,10,1,2,1,1,4.18,"Entire home/apt","East Boston","moderate"
88,10,9,1,1,1,1,6.59,"Private room","East Boston","flexible"
320,10,10,3,2,2,4,0.17,"Entire home/apt","East Boston","strict"
200,10,10,2,1,1,1,1.47,"Entire home/apt","East Boston","moderate"
299,10,10,4,2,2,1,0.09,"Entire home/apt","Downtown","super_strict_30"
120,8,9,1,1,1,1,0.65,"Private room","Beacon Hill","flexible"
137,10,10,7,1,1,1,2,"Entire home/apt","Beacon Hill","strict"
269,10,10,1,2,1,1,0.48,"Entire home/apt","Beacon Hill","strict"
